username	ideo	id	followers_count	rank
grahamblog	0.4834339527	14845376	106328	28
repgoodlatte	0.7587298908	37920978	99890	29
mcconnellpress	0.2320484426	339822881	96654	30
tvkatesnow	0.2036649253	44397881	87180	31
susanpage	0.08320529835	21307076	80733	32
kevinomccarthy	0.9820840631	15428227	73666	33
senatorisakson	0.8578120229	78403308	65253	34
orrinhatch	0.7875319648	18170310	63035	35
repkevinbrady	0.8269510356	19926675	57459	36
rickleventhal	0.1731970949	16364399	57064	37
davidenrich	0.1716515907	185270017	56808	38
cathymcmorris	0.9087485926	17976923	51559	39
waysandmeansgop	0.8150103788	12788332	46661	40
senatorkirk	0.1500572369	211588974	46579	41
reddy	0.05148387923	21312469	43404	42
ghoshworld	0.3578458167	244957467	40429	43
boblatta	0.8093449393	15394954	38285	44
petesessions	0.9515260258	24735461	36735	45
repfredupton	0.3175690121	124224165	36324	46
patrickmchenry	0.8316256829	27676828	36207	47
repmikecoffman	0.5398101064	19407835	36200	48
repmikerogersal	0.6834251803	33977070	35852	49
repgusbilirakis	0.4500709573	26051676	35718	50
geraldfseib	0.1237367628	18915795	35587	51
reppeteking	0.93072926	18277655	35392	52
sendancoats	0.4018979066	212262370	34869	53
repdavid	0.9787311822	229197216	34245	54
michaelcburgess	0.9100633186	15751083	33828	55
stevestrauss	0.2902376366	16076796	33783	56
housecommerce	0.2353269605	114756202	33708	57
congbillposey	0.5823192107	25086658	33093	58
danarohrabacher	0.7602964687	19139963	32587	59
virginiafoxx	0.5114394248	16256269	32153	60
scotthensley	0.1860604302	18208763	31326	61
michellehiggins	0.07540792748	21145241	30930	62
robwittman	0.4392423729	15356407	30555	63
financialcmte	0.4575488939	42924141	29614	64
repgregwalden	0.04150049503	32010840	28877	65
joelieberman	0.1627001492	84129740	28815	66
dkberman	0.0244515967	111441302	28432	67
repshimkus	0.6193456729	15600527	28184	68
capitolhistory	0.07635552579	52779839	28005	69
aaronkatersky	0.08340731895	125358141	27707	70
davidvitter	0.6746100355	19028248	26448	71
peterroskam	0.5461231452	20015903	25214	72
greggharper	0.9562039132	23712174	25127	73
jefffortenberry	0.7385055593	18805303	24921	74
vikasbajaj	0.04066924893	33338729	24678	75
repkenmarchant	0.9273615297	23976316	24016	76
congressmangt	0.3287754687	18967498	23869	77
repjoebarton	0.7560676722	19929362	23514	78
kaybaileyhutch	0.385774592	133439172	23210	79
damianpaletta	0.1448573256	115718513	23182	80
tomrooney	0.8215620332	23970171	22854	81
deanheller	0.5928008243	41363507	22372	82
hascrepublicans	0.6567430915	20192403	22311	83
lamarsmithtx21	0.9495041744	15856366	21986	84
danraviv	0.06061661417	19083676	21974	85
kenrudin	0.02890727315	16249259	21655	86
rephensarling	0.9628525399	18566912	21109	87
danamattioli	0.1486400324	23892927	20544	88
repwalterjones	0.5147484075	26778110	20244	89
robportman	0.6823778012	2612307559	20107	90
cbsnewspress	0.002073212327	331211313	19818	91
sarbetter	0.4830962987	105677153	19580	92
simondenyer	0.1387213944	39778096	19429	93
stevennelson10	0.1167988806	47893782	19252	94
julietmacur	0.1255552963	18554022	18706	95
randy_forbes	0.6692233847	15160884	17607	96
ussenscottbrown	0.2715851124	117537998	17321	97
russwkyc	0.4927888936	22149280	16753	98
jackkingston	0.9827950925	36654245	16685	99
petehoekstra	0.7144146665	15661604	16391	100
michaelroston	0.1130024611	16194566	16276	101
rogerwicker	0.2013287302	11650762	15660	102
jestei	0.1841783127	16441088	15518	103
susancrabtree	0.06471183631	21333396	15422	104
inhofepress	0.6192050017	20546536	15128	105
m_delamerced	0.1528357618	9089942	14378	106
delwilber	0.6310888619	20114089	14226	107
charlesforelle	0.3090641177	334926329	13780	108
randyneugebauer	0.7768462968	34340464	12512	109
stiles	0.01798377522	14790314	11648	110
peteolson	0.8723362733	12726012	11428	111
senjonkyl	0.70664844	24905240	11116	112
katie_thomas	0.05052641755	18318642	10901	113
davidmastio	0.9778941319	14327663	10502	114
reedalbergotti	0.044679942	16912204	10278	115
dianabhenriques	0.1981436882	242763001	10238	116
candicemiller	0.5403842262	15281676	9953	117
